location_id,address_obj.state,name_details,latitude,longitude,rating,num_reviews,photo_count,price_level,amenities,styles,trip_types,address_obj.city_details,address_obj.country,ranking_data.ranking_out_of,ranking_data.ranking,review_rating_count.1,review_rating_count.2,review_rating_count.3,review_rating_count.4,review_rating_count.5,brand,description,subratings.0.localized_name,subratings.0.value,subratings.1.localized_name,subratings.1.value,subratings.2.localized_name,subratings.2.value,subratings.3.localized_name,subratings.3.value,subratings.4.localized_name,subratings.4.value,subratings.5.localized_name,subratings.5.value
278399,Podlaskie Province,Hotel Cristal Bialystok,53.132675,23.15599,4.5,390,221,$,"['Internet', 'Suites', 'Room service', 'Free Internet', 'Wheelchair access', 'Restaurant', 'Bar/Lounge', 'Spa', 'Wifi', 'Public Wifi', 'Free Wifi', 'Dry Cleaning', 'Meeting rooms', 'Hot Tub', 'Non-smoking rooms', 'Laundry Service', 'Air conditioning', 'Family Rooms', 'Multilingual Staff', 'Accessible rooms', 'Refrigerator in room', 'Minibar', 'Conference Facilities', 'Non-smoking hotel', 'Safe', 'Flatscreen TV', 'Breakfast Buffet', 'Breakfast Available', 'Parking', 'Facilities for Disabled Guests', 'Housekeeping', 'Sauna', 'Baggage Storage', 'Bathrobes', 'Blackout Curtains', 'Bottled Water', 'Breakfast in the Room', 'Express Check-in / Check-out', 'Clothes Rack', 'Coffee Shop', 'Complimentary Tea', 'Desk', 'English', 'First Aid Kit', 'Fitness / Spa Locker Rooms', 'Complimentary Instant Coffee', '24-Hour Front Desk', 'Iron', 'Ironing Service', 'Polish', 'Private Bathrooms', 'Paid Private Parking On-site', 'Paid Public Parking Nearby', 'Russian', 'Seating Area', 'Secured Parking', 'Shoeshine', 'Special Diet Menus', 'Steam Room', 'Street Parking', 'Telephone', 'Tile / Marble Floor', 'Umbrella', 'Wake Up Service / Alarm Clock', 'Wardrobe / Closet']","['Modern', 'Classic']","[{'name': 'business', 'localized_name': 'Business', 'value': '142'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '98'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '28'}, {'name': 'family', 'localized_name': 'Family', 'value': '68'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '36'}]",Bialystok,Poland,32.0,2.0,4.0,2.0,27.0,128.0,229.0,,,Location,4.8,Sleep Quality,4.3,Rooms,4.3,Service,4.7,Value,4.3,Cleanliness,4.6
10050636,Podlaskie Province,Ibis Styles Bialystok,53.1363,23.162004,4.5,375,302,$,"['Internet', 'Kids Activities', 'Suites', 'Room service', 'Free Internet', 'Free parking', 'Wheelchair access', 'Restaurant', 'Bar/Lounge', 'Pets Allowed', 'Wifi', 'Public Wifi', 'Free Wifi', 'Breakfast included', 'Meeting rooms', 'Non-smoking rooms', 'Business center', 'Fitness center', 'Laundry Service', 'Air conditioning', 'Family Rooms', 'Multilingual Staff', 'Accessible rooms', 'Conference Facilities', 'Non-smoking hotel', 'Flatscreen TV', 'Breakfast Buffet', 'Breakfast Available', 'Parking', 'Facilities for Disabled Guests', 'Housekeeping', 'Sauna', 'Baggage Storage', 'Bath / Shower', 'Express Check-in / Check-out', 'Desk', 'English', '24-Hour Front Desk', 'Hair Dryer', 'Parking Garage', 'Polish', 'Paid Private Parking On-site', 'Russian', 'Soundproof Rooms', 'Telephone']","['Modern', 'Mid-range']","[{'name': 'business', 'localized_name': 'Business', 'value': '113'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '94'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '29'}, {'name': 'family', 'localized_name': 'Family', 'value': '98'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '21'}]",Bialystok,Poland,32.0,1.0,10.0,5.0,20.0,99.0,241.0,ibis Styles,,Location,4.8,Sleep Quality,4.7,Rooms,4.6,Service,4.6,Value,4.5,Cleanliness,4.8
23643711,Podlaskie Province,Hampton by Hilton Bialystok,53.13314,23.149403,4.4,21,125,$$,['Free Wifi'],"['Quaint', 'Charming']","[{'name': 'business', 'localized_name': 'Business', 'value': '8'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '5'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '1'}, {'name': 'family', 'localized_name': 'Family', 'value': '5'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '1'}]",Bialystok,Poland,32.0,12.0,1.0,0.0,2.0,5.0,13.0,,"Hampton by Hilton Bialystok offers a modern and welcoming stay in the heart of northeastern Poland. Located close to the city’s historic centre, the hotel provides easy access to Bialystok’s cultural landmarks, shopping areas, and public transport, making it ideal for both business and leisure travellers. Rooms are thoughtfully designed with signature Hampton beds, free WiFi, and ergonomic workspaces. Guests can enjoy a complimentary hot breakfast, stay active in the fitness centre, and relax in the stylish lobby bar. The hotel also features onsite parking and a 24-hour front desk for added convenience. Whether you're visiting Bialystok for meetings or exploring its rich heritage and green spaces, Hampton by Hilton Bialystok delivers reliable comfort, friendly service, and a central location for a memorable stay.",Location,4.7,Sleep Quality,3.0,Rooms,4.2,Service,4.4,Value,4.6,Cleanliness,4.6
21356073,Podlaskie Province,Mercure Bialystok,53.129864,23.11773,3.5,6,103,$$,"['Shuttle Bus Service', 'Suites', 'Room service', 'Free Internet', 'Wheelchair access', 'Restaurant', 'Bar/Lounge', 'Pets Allowed', 'Spa', 'Public Wifi', 'Free Wifi', 'Meeting rooms', 'Non-smoking rooms', 'Business center', 'Fitness center', 'Laundry Service', 'Concierge', 'Banquet Room', 'Air conditioning', 'Accessible rooms', 'Minibar', 'Conference Facilities', 'Non-smoking hotel', 'Safe', 'Flatscreen TV', 'Breakfast Buffet', 'Breakfast Available', 'Housekeeping', 'Baggage Storage', 'Bathrobes', 'Blackout Curtains', 'Bottled Water', 'Breakfast in the Room', 'Cable / Satellite TV', '24-Hour Check-in', 'Express Check-in / Check-out', ""Children's Television Networks"", 'Clothes Rack', 'Desk', 'Electric Kettle', 'English', 'First Aid Kit', 'Complimentary Toiletries', '24-Hour Front Desk', 'Hair Dryer', 'Highchairs Available', 'Interconnected room(s) available', 'Iron', 'Ironing Service', 'Laptop Safe', 'Outdoor Dining Area', 'Polish', 'Private Bathrooms', 'Paid Private Parking On-site', 'Radio', 'Russian', 'Seating Area', 'Shoeshine', 'Sofa', 'Sofa Bed', 'Street Parking', 'Taxi Service', 'Telephone', 'Umbrella', 'Wake Up Service / Alarm Clock', 'Walk-in Shower', 'Wardrobe / Closet']","['Quaint', 'City View']","[{'name': 'business', 'localized_name': 'Business', 'value': '2'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '1'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '1'}]",Bialystok,Poland,32.0,22.0,2.0,0.0,0.0,1.0,3.0,Mercure,,Sleep Quality,3.7,Rooms,3.0,Location,1.0,Service,3.3,Value,3.0,Cleanliness,1.0
23247934,Podlaskie Province,Hostel Bialystok Centrum,53.135296,23.145533,4.3,3,1,$,[],[],"[{'name': 'business', 'localized_name': 'Business', 'value': '1'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '1'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Bialystok,Poland,97.0,6.0,0.0,0.0,0.0,2.0,1.0,,,Location,5.0,Sleep Quality,4.0,Rooms,4.0,Service,4.5,Value,4.0,Cleanliness,4.0
15857328,Podlaskie Province,Apartamenty Bialystok - Lipowa 12,53.13319,23.15474,5.0,1,0,$,[],[],"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '1'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Bialystok,Poland,97.0,14.0,0.0,0.0,0.0,0.0,1.0,,,Sleep Quality,5.0,Service,4.0,Cleanliness,5.0,,,,,,
641571,Podlaskie Province,Hotel Branicki,53.134518,23.160189,4.5,257,191,$,"['Restaurant', 'Internet', 'Suites', 'Room service', 'Free Internet', 'Wheelchair access', 'Bar/Lounge', 'Wifi', 'Free Wifi', 'Dry Cleaning', 'Non-smoking rooms', 'Laundry Service', 'Air conditioning', 'Minibar', 'Safe', 'Flatscreen TV', 'Breakfast Buffet', 'English', 'Polish', 'Kids Activities', 'Pets Allowed', 'Spa', 'Public Wifi', 'Breakfast included', 'Meeting rooms', 'Hot Tub', 'Multilingual Staff', 'Smoking rooms available', 'Accessible rooms', 'Refrigerator in room', 'Babysitting', 'Non-smoking hotel', 'Sauna']","['Charming', 'Quaint']","[{'name': 'business', 'localized_name': 'Business', 'value': '86'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '77'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '22'}, {'name': 'family', 'localized_name': 'Family', 'value': '39'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '15'}]",Bialystok,Poland,32.0,3.0,3.0,1.0,11.0,80.0,162.0,,"Hotel Branicki is a first class hotel reflecting the atmosphere of prewar Bialystok and the tradition of its Hotel Ritz. Its location in the quiet part of the city center, its stylish image, welcoming atmosphere and its top level of service provide an ideal place for work and rest. The Hotel Branicki offers its guests 30 individually designed rooms and 2 suites (HETMAN SUITE and ROSE SUITE) with unique interiors. Each room guarantees a very high standard with top quality furniture. There are two floors for non-smokers. The Hotel is adapted for disabled Guests.Guests have also at their disposal the ORANGERY Restaurant, “1871” Night Club, Havana Cigar Club and the Hotel Beauty Centre. The Hotel also features 2 conference rooms, “Jan Klemens” and “Izabela”, which can hold up 100 participants, fitted with most modern equipment that can be used for training sessions and conferences.",Location,4.7,Sleep Quality,4.5,Rooms,4.5,Service,4.6,Value,4.4,Cleanliness,4.6
11680364,Podlaskie Province,Royal Hotel & Spa,53.132103,23.159204,4.3,124,162,$$,"['Pool', 'Internet', 'Suites', 'Room service', 'Free Internet', 'Restaurant', 'Bar/Lounge', 'Spa', 'Wifi', 'Public Wifi', 'Free Wifi', 'Dry Cleaning', 'Meeting rooms', 'Non-smoking rooms', 'Fitness center', 'Laundry Service', 'Concierge', 'Air conditioning', 'Accessible rooms', 'Minibar', 'Non-smoking hotel', 'Safe', 'Breakfast Buffet', 'Bathrobes', 'Polish', 'Wheelchair access', 'Pets Allowed', 'Hot Tub', 'Family Rooms', 'Multilingual Staff', 'Breakfast Available', 'Baggage Storage']","['Quaint', 'Charming']","[{'name': 'business', 'localized_name': 'Business', 'value': '38'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '36'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '4'}, {'name': 'family', 'localized_name': 'Family', 'value': '23'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '10'}]",Bialystok,Poland,32.0,8.0,4.0,7.0,8.0,30.0,75.0,,"The Hotel is located in the former Trade House at 11 Kosciuszki Market Square. The Hotel offers 42 comfortable rooms in three different standards. It is a perfect place for business as well as unique location for leisure. There is a guarded parking for over 30 cars. Thanks to the conference room for 70 people, with sophisticated interiors and modern equipment, it is an ideal place for business meetings and small banquets. In the basement, our Guests will find our own brewery called ""Stary Rynek"". Besides the brewery there are two large bars with coffee and wide selection of drinks. At the -1 level there is a smoking room with a choice of cigars. Brewery and pub can accommodate up to 170 people. At the Hotel there is also a Spa of Dr Irena Eris Beauty Partner. Dr Irena Eris is the most famous Polish brand and a recognized expert in the field of wellness and beauty. In the Q2 of 2017, on the top floor of the hotel there will be a swimming pool with the view over the city, which will create a unique atmosphere for relaxation. Additionally there will be a sauna, Jacuzzi, steam bath, and a small gym.",Location,4.6,Sleep Quality,4.2,Rooms,4.3,Service,4.2,Value,4.0,Cleanliness,4.7
17678224,Podlaskie Province,Wynajem Pokoi Bialystok,53.14958,23.22151,,0,0,$,[],[],"[{'name': 'business', 'localized_name': 'Business', 'value': '0'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '0'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '0'}, {'name': 'family', 'localized_name': 'Family', 'value': '0'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '0'}]",Bialystok,Poland,,,,,,,,,,,,,,,,,,,,,
528501,Podlaskie Province,Golebiewski Hotel,53.132427,23.170046,3.7,173,116,$$,"['Pool', 'Internet', 'Kids Activities', 'Room service', 'Free Internet', 'Wheelchair access', 'Restaurant', 'Bar/Lounge', 'Pets Allowed', 'Spa', 'Wifi', 'Free Wifi', 'Breakfast included', 'Meeting rooms', 'Hot Tub', 'Non-smoking rooms', 'Fitness center', 'Laundry Service', 'Air conditioning', 'Flatscreen TV', 'Breakfast Buffet', 'Indoor pool', 'Polish', 'Free parking', 'Public Wifi', 'Dry Cleaning', 'Business center', 'Family Rooms', 'Accessible rooms']","['Classic', 'Centrally Located']","[{'name': 'business', 'localized_name': 'Business', 'value': '48'}, {'name': 'couples', 'localized_name': 'Couples', 'value': '36'}, {'name': 'solo', 'localized_name': 'Solo travel', 'value': '9'}, {'name': 'family', 'localized_name': 'Family', 'value': '54'}, {'name': 'friends', 'localized_name': 'Friends getaway', 'value': '14'}]",Bialystok,Poland,32.0,11.0,6.0,17.0,38.0,73.0,39.0,,"Gołębiewski Hotel is an excellent choice for travelers visiting Bialystok, offering a family-friendly environment alongside many helpful amenities designed to enhance your stay.
The rooms offer air conditioning, and getting online is possible, as free wifi is available, allowing you to rest and refresh with ease.
Gołębiewski Hotel features room service. In addition, as a valued Gołębiewski Hotel guest, you can enjoy a pool and free breakfast that are available on-site. Guests arriving by vehicle have access to free parking.
Close to some of Bialystok's most popular landmarks, such as The Grand Synagogue Memorial (0.5 mi) and Pomnik Bohaterów Powstania w Getcie (1.0 mi), Gołębiewski Hotel is a great destination for tourists.
If you’re looking for a seafood restaurant, consider a visit to Mandarino Pizza & Pasta & Vino, Doho Sushi, or Jack Sparrow Pub, which are all conveniently located a short distance from Gołębiewski Hotel.
If you are interested in exploring Bialystok, check out one of the art galleries, such as Sleńdzińskich Art Gallery and Galeria Pod Aniołami.
Enjoy your stay in Bialystok!
",Location,4.4,Sleep Quality,3.8,Rooms,3.7,Service,4.0,Value,3.6,Cleanliness,4.0
