id,location_id,published_date,rating,helpful_votes,text,title,trip_type,travel_date,user.username,user.user_location.name,owner_response.title,owner_response.text,owner_response.author,owner_response.published_date,subratings.0.localized_name,subratings.0.value,subratings.1.localized_name,subratings.1.value,subratings.2.localized_name,subratings.2.value,subratings.3.localized_name,subratings.3.value,subratings.4.localized_name,subratings.4.value,subratings.5.localized_name,subratings.5.value
1029040227,278399,2025-09-06T07:57:42Z,5,0,Great place to stay. Room was very large and well equipped. Staff very friendly and helpful. Parking spaces at the rear are so convenient. The jacuzzi and sauna were so relaxing. Centrally located so short walking distance to shops and bars.,Central Location,Couples,2025-08-31,ellenp667,,Owner response,"Dear Ellen667
Thank you for your feedback and an amazing rating of 5/5. Your kind comments about clean and spacious rooms, great location and helpful team are much appreciated. We're delighted to know that they contributed to a positive experience during your stay. 

Thank you for choosing to stay with us, and we look forward to welcoming you back for another enjoyable stay in the future.
",Katarzyna Grądzka,2025-09-25T06:43:01Z,,,,,,,,,,,,
1028901978,278399,2025-09-05T09:34:55Z,1,0,"I came to eat a delicious Provençal soup and a delicious salad with shrimp. The waiter took the order on the run, offered nothing to drink. I waited 20 min for the soup and didn't get it... during this time the customer who came after me received 2 dishes.... What came out of a delicious dinner was a sense of disappointment and disregard from the staff👎. It's a shame because the food they have is delicious and it's hard to eat better Provençal soup, not only in Bialystok😔😔😔😔 I was 05/09/25. I left not expecting to eat....",Słaba obsługa,Solo travel,2025-09-30,Departure58486761593,,,,,,,,,,,,,,,,,
1021148887,278399,2025-07-27T13:21:27Z,1,0,"I've try to call them 3 times and each time I' ve spend  30 min on the phone and nobody bothered to answe. Hard to communicate,  or  make an changes.",Not nice,Couples,2025-07-31,roman865,,Owner response,"Dear Roman865.
Thank you for your review. I wish we could know more details about your stay. Unfortunately we dont know wheter you stayed at our hotel or just tried to contact with us. We are very sorry that nobody answered the phone. Some days reception agents are very busy with the guests. There are other ways of communication: an email, sms, or massage via booking website. Contact details are available on our website. 
If you wish to share more details about your stay kindly contact us directly. Thank you. ",Katarzyna Grądzka,2025-07-28T09:20:41Z,,,,,,,,,,,,
1033812883,10050636,2025-10-07T10:16:23Z,5,0,"This was my second time in a suite. 100% recommend! 
In fact coming back in July and booked a suite again!
Front desk girls are so great, always welcoming and kind.
Breakfast is delicious. 
ONLY recommendation I have is to have bugger bath towels! 

xox book it !",Just book it! Great hotel!,Family,2025-05-31,monikac145,,,,,,Value,5.0,Rooms,5.0,Location,5.0,Cleanliness,5.0,Service,5.0,Sleep Quality,4.0
1019523151,10050636,2025-07-20T03:03:09Z,4,0,"This hotel is in a great location. Attached to a shopping centre and close to the old town . 
Rooms had more storage than it first appeared. There was no fridge but there was a kettle. The shower was walk in which was good but the water went over the floor . 
Breakfast wasn’t to my taste but there was quite a lot to choose from . Lots of cold cuts and cake.",Good location in Bialystock,Couples,2025-07-31,andream0402,"Melbourne, Victoria",Owner response,"Dear Andream0402, 
That is so nice of you to leave such wonderful feedback about your last stay, our location and service. Many thanks for your appreciation. When you visit next time, please book the Family Suite that is equipped with the small fridge. 
I hope to host you again in the close future. 
Kindest regards
Urszula Markowska-Buwaj/ General Manager
",Beata Nowakowska,2025-07-22T08:51:49Z,,,,,,,,,,,,
972191134,10050636,2024-10-01T15:45:27Z,3,0,"The hotel was easy to find this the parking place is not indicated. I drove at another place, a block beside the hotel.
The elevator has a glass window and you can see outside when going up or down. I am afraid of highs so it was uncomfortable. The floor in the room is extremely noisy. I could hear the neighbours walking continuously. Very disturbing.
Otherwise it seems ok. Shopping center nearby and nice reception. Maybe if I get used to the place I will appreciate it more.",Ok,Solo travel,2024-10-31,GoodMorning11,Sweden,,,,,,,,,,,,,,,,
953043053,10050636,2024-05-30T14:46:34Z,5,0,"Cool location, near the city center, very nice and cozy room, very friendly personnel, tasty breakfast. I am sure i will come again",Cool Location,NONE,2024-05-31,Chris29w2000,Vienna,,,,,Value,5.0,Rooms,5.0,Location,5.0,Cleanliness,5.0,Service,5.0,Sleep Quality,5.0
1058816082,23643711,2026-05-03T11:34:22Z,5,0,"What a surprise to find this venue.  Near all the old town location with such unrealized history.  Rooms are nice, facility is clean and well maintained.",Central Europe is a cool place to visit,Business,2026-01-31,johnsL8695XS,"Amherst, New Hampshire",,,,,,,,,,,,,,,,
1055109917,23643711,2026-04-02T10:48:48Z,1,0,"At check out no invoice was issued in either paper or digital form, despite numerous requests made both at the reception and by phone during the following ten hours. This behavior is unacceptable, and even more so if you are travelling for business where the invoice is an essential part of the work. Avoid this hotel.",No invoice,Business,2026-04-30,840rosariol,"Milan, Lombardy",Owner response,"Dear Rosario,

Thank you for sharing your feedback.

We are sorry to hear about your dissatisfaction; however, we would like to clarify that the situation described does not reflect what occurred.

On April 2nd, a paper invoice was prepared for you in the morning at the time of check-out. As it was not collected, and in line with the National e-Invoicing System (KSeF) introduced in Poland on April 1st, the invoice was sent electronically later that same day in the afternoon as part of the required daily submission process.

We understand how important invoices are for business travel, which is why we ensured it was issued in accordance with current regulations. We regret that this has led to a misunderstanding.

Kind regards,
Justyna Lewkowicz
General Manager",Justyna Lewkowicz,2026-04-03T09:22:17Z,Value,4.0,Rooms,3.0,Location,4.0,Cleanliness,4.0,Service,1.0,Sleep Quality,1.0
1019028526,23643711,2025-07-17T05:14:47Z,5,0,"We stayed at this hotel on the recommendation of our tour guide and it did not disappoint. This hotel had all modern conveniences needed, a delicious buffet breakfast, comfortable rooms, and friendly staff. We had breakfast here each morning and cocktails in the evening before heading out to dinner. It is very close to many restaurants and interesting sights. There is space in the lobby to both eat and also just to gather to talk with family and friends. I have to eat gluten free meals and there were gluten free options available at breakfast. I highly recommend this hotel.",Highly Recommended Hotel,Family,2025-07-31,jenc746,"Malvern, Pennsylvania",,,,,Value,5.0,Rooms,5.0,Location,5.0,Cleanliness,5.0,Service,5.0,Sleep Quality,5.0
965092656,23643711,2024-08-16T07:32:09Z,4,0,"Recently opened hotel on a side street close to the city center, very quiet location.
The spotlessly clean  rooms in a pleasant design feature a sofa. The breakfast is OK and is served in the entrance hall, could become crowded at busy times. There is also a children's corners to keep the little ones occupied.","modern, quiet, central",Solo travel,2024-07-31,riehen,"Bern, Bern Mittelland District, Canton of Bern",,,,,Value,4.0,Rooms,4.0,Location,4.0,Cleanliness,5.0,Service,4.0,Sleep Quality,4.0
959324612,23643711,2024-07-13T11:08:03Z,4,0,"Remarkably good experience. It may be on the newer side or recently renovated— the facility was immaculate and staff pleasant. We both slept very well in the queen bed. The room is not large but comfortably arranged with a banquette and a small desk. Nice shower also. The hotel is situated on something of a cul-de-sac and so our room was quiet even though it overlooked the street. The breakfast was quite impressive and such an excellent value! Besides typical fare, it offered excellent and delicious fresh products (including very good fresh salads, one with beets and goat cheese, another with chicken, tomatoes, cucumber), crunchy pickles, eggs, sausages, delicious blintzes, and an excellent assortment of fresh breads. Overall, an excellent value.",Well situated and great value,Couples,2024-07-31,BiConti,,,,,,,,,,,,,,,,,
902400535,21356073,2023-07-12T06:05:36Z,5,0,"The hotel manager n staff are super helpful. They helped us to check cross border transportation. Also the car key is out of battery n they helped us to fix it. 

The hotel manger’s name is Joanna. She and her team members are all very helpful. They deserve good comment for their service.",Good service of hotel manager and hotel staff,Friends getaway,2023-07-31,puifongl2022,,Owner response,Dear Pui fong Lm thank you so much for sharing your opinion with TA community. I am very happy to learn that Joanna  and the rest of our staff made your stay so satisfactory. It's good to know you have found our personnel helpful and professional. I do hope you will visit us again in the future. All the best!,Sebastian Pruchniak,2023-07-14T06:05:19Z,,,,,,,,,,,,
878635952,21356073,2023-02-14T05:38:46Z,1,0,"The hotel only uses air conditioning to heat the rooms, which is very noisy and even at a temperature of 0 degrees outside does not warm the room at all. In addition, there is no soundproofing in the rooms, you will hear absolutely any rustle. Because of what we were forced to move out after 2 hours in the room and look for a new hotel. It was not possible to stay overnight in this hotel. The reaction of the hotel management to the designation of problems did not lead to any results. Worst hotel in my life.",Worst hotel in my life,Couples,2023-02-28,vagez,"Volma, Minsk Region",,,,,,,,,,,,,,,,
862377352,21356073,2022-09-28T18:17:09Z,4,0,"Comfortable and new facilities. The worst, it is very far from the restaurants and shopping area. The food menu in the restaurant is limited, although the breakfasts are very good and varied. Clean and equipped bathrooms.","Cozy, quiet and cheap",Business,2022-09-30,241joaqu_nr,"Province of Cordoba, Andalucia",,,,,Value,5.0,Service,4.0,Sleep Quality,5.0,,,,,,
