location_id,name,address_obj.city,address_obj.state
278399,Hotel Cristal Bialystok,Bialystok,Podlaskie Province
10050636,Ibis Styles Bialystok,Bialystok,Podlaskie Province
23643711,Hampton by Hilton Bialystok,Bialystok,Podlaskie Province
21356073,Mercure Bialystok,Bialystok,Podlaskie Province
23247934,Hostel Bialystok Centrum,Bialystok,Podlaskie Province
15857328,Apartamenty Bialystok - Lipowa 12,Bialystok,Podlaskie Province
641571,Hotel Branicki,Bialystok,Podlaskie Province
11680364,Royal Hotel & Spa,Bialystok,Podlaskie Province
17678224,Wynajem Pokoi Bialystok,Bialystok,Podlaskie Province
528501,Golebiewski Hotel,Bialystok,Podlaskie Province
275049,Novotel Warszawa Centrum,Warsaw,Mazovia Province
15519965,Hotel Warszawa,Warsaw,Mazovia Province
15751681,PURO Warszawa Centrum,Warsaw,Mazovia Province
275042,Mercure Warszawa Centrum,Warsaw,Mazovia Province
277373,Novotel Warszawa Airport,Warsaw,Mazovia Province
596818,Hotel Warszawa,Augustow,Podlaskie Province
275044,Ibis Warszawa Centrum,Warsaw,Mazovia Province
2590182,ibis Warszawa Reduta,Warsaw,Mazovia Province
1460887,Ibis Budget Warszawa Centrum,Warsaw,Mazovia Province
275064,Hotel Gromada Warszawa Centrum,Warsaw,Mazovia Province
14040909,PURO Krakow Kazimierz,Krakow,Lesser Poland Province
321158,Sheraton Grand Krakow,Krakow,Lesser Poland Province
9884047,Hotel Mercure Krakow Stare Miasto,Krakow,Lesser Poland Province
12393367,Wyndham Grand Krakow Old Town,Krakow,Lesser Poland Province
23391245,Ac Hotel Krakow,Krakow,Lesser Poland Province
609368,Qubus Hotel Krakow,Krakow,Lesser Poland Province
4176964,PURO Krakow Stare Miasto,Krakow,Lesser Poland Province
1728175,Hilton Garden Inn Krakow,Krakow,Lesser Poland Province
277359,Radisson Blu Hotel Krakow,Krakow,Lesser Poland Province
277358,Novotel Krakow Centrum,Krakow,Lesser Poland Province
277649,Novotel Katowice Centrum,Katowice,Silesia Province
14967747,Moxy Katowice Airport,Pyrzowice,Silesia Province
1654292,Vienna House Easy by Wyndham Katowice,Katowice,Silesia Province
1400018,ibis Budget Katowice Centrum,Katowice,Silesia Province
12167331,Q Hotel Plus Katowice,Katowice,Silesia Province
23417081,Mercure Katowice Centrum,Katowice,Silesia Province
502269,Campanile Katowice,Katowice,Silesia Province
1723757,Park Inn by Radisson Katowice,Katowice,Silesia Province
12246671,Courtyard by Marriott Katowice City Center,Katowice,Silesia Province
286780,Hotel Diament Plaza Katowice,Katowice,Silesia Province
6664499,Puro Hotel Poznan Stare Miasto,Poznan,Greater Poland Province
626806,Sheraton Poznan Hotel,Poznan,Greater Poland Province
